0,0,0,0,0,0,-1.542892291
0.5,0.06,0.04,-0.02,-0,-0.014,-3.797893258
1,0.16,0.14,0.1,0.16,-0.008,0.7524558213
1.5,0.22,0.3,0.36,0.42,-0.024,0.4148978505
2,0.5,0.52,0.52,0.64,-0.0318,-0.5568027645
2.5,0.74,0.7,0.78,0.78,-0.011,0.5167194414
3,0.98,1,1.02,1.04,0.0018,0.3166329071
3.5,1.14,1.16,1.16,1.16,-0.0122,1.111880414
4,1.24,1.26,1.3,1.36,-0.0298,-3.369979983
4.5,1.3,1.24,1.3,1.22,-0.0094,-0.4772283428
5,1.24,1.18,1.22,1.22,-0.0058,-0.2534171881
5.5,1.32,1.2,1.44,1.2,-0.0152,0.6497443109
6,1.28,1.2,1.44,1.3,-0.0246,-1.791630201
6.5,1.2,1.34,1.36,1.34,-0.0148,2.774989593
7,1.14,1.18,1.24,1.28,-0.0092,-0.7101913623
7.5,1.18,1.22,1.3,1.34,-0.0106,1.390454435
8,1.26,1.22,1.32,1.3,-0.0036,-2.335209994
8.5,1.22,1.18,1.4,1.26,-0.0078,-2.759249961
9,1.2,1.24,1.28,1.26,-0.0104,-1.74049108
9.5,1.24,1.2,1.32,1.34,-0.0012,7.057184779
10,1.26,1.22,1.28,1.28,-0.0074,3.352186932
10.5,1.18,1.3,1.2,1.32,-0.0184,1.428251974
11,1.2,1.16,1.26,1.2,-0.0228,1.503775517
11.5,1.22,1.24,1.24,1.36,-0.0226,-0.122233788
12,1.2,1.26,1.24,1.28,-0.0194,-0.1586778482
12.5,1.3,1.26,1.32,1.28,-0.0094,0.4032885675
13,1.22,1.28,1.26,1.28,-0.024,-1.210806646
13.5,1.24,1.26,1.28,1.3,-0.0216,-1.904887445
14,1.18,1.16,1.22,1.28,-0.0182,-1.509882894
14.5,1.18,1.2,1.28,1.26,-0.0152,1.363516793
15,1.2,1.16,1.14,1.26,-0.0126,-3.074326171
15.5,1.2,1.26,1.22,1.28,-0.0322,-5.105256761
16,1.12,1.28,1.28,1.3,-0.0258,-2.660231442
16.5,1.26,1.18,1.28,1.3,-0.0074,-0.1155565323
17,1.16,1.08,1.34,1.28,0.0038,-1.703992539
17.5,1.08,1.24,1.34,1.36,-0.0068,-2.450731057
18,1.2,1.3,1.3,1.3,-0.0126,-1.736092066
18.5,1.34,1.2,1.38,1.3,-0.0018,-0.8031790014
19,1.26,1.22,1.28,1.22,0.0052,-1.495078113
19.5,1.18,1.18,1.4,1.3,-0.0216,2.582790614
20,1.26,1.2,1.28,1.28,-0.0228,0.9931073171
20.5,1.12,1.12,1.28,1.18,-0.012,-0.4064915438
21,1.26,1.26,1.3,1.2,-0.0252,-1.361401003
21.5,1.2,1.28,1.28,1.28,-0.0156,3.940436916
22,1.08,1.2,1.2,1.28,-0.013,-1.416992309
22.5,1.16,1.22,1.16,1.24,-0.0244,-2.367991616
23,1.22,1.2,1.24,1.26,-0.0038,1.739780861
23.5,1.22,1.14,1.24,1.2,-0.0156,1.193001322
24,1.2,1.16,1.22,1.32,-0.0076,-2.845885151
24.5,1.12,1.28,1.3,1.24,-0.023,0.05944295063
25,1.22,1.24,1.38,1.22,-0.0276,1.246173389
25.5,1.3,1.18,1.36,1.28,-0.0204,-0.4787917762
26,1.36,1.12,1.32,1.26,-0.02,-0.181028403
26.5,1.16,1.14,1.32,1.22,-0.0196,-4.061681673
27,1.28,1.24,1.18,1.38,-0.0188,-1.040934874
27.5,1.26,1.24,1.32,1.26,-0.023,3.567833442
28,1.22,1.28,1.24,1.38,-0.0194,-0.5861670667
28.5,1.32,1.2,1.24,1.34,-0.014,0.5181482074
29,1.3,1.24,1.26,1.32,-0.0108,-4.208093229
29.5,1.26,1.16,1.28,1.32,0.0054,-2.534165543
30,1.16,1.28,1.34,1.26,0.0002,-2.97959863
30.5,1.22,1.4,1.34,1.3,-0.0248,-1.073274515
31,1.24,1.28,1.24,1.34,-0.0074,1.588801738
31.5,1.18,1.28,1.28,1.24,-0.0094,-0.4356420293
